SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,Charges_per_tenure,TotalCharges_log,High_Spender,high_risk,tenure_group,Contract_Risk,Total_Services,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1,29.85,29.85,0,14.925,3.4291367503513968,0,0,0,2,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,34,56.95,1889.5,0,1.6271428571428572,7.544596623330987,0,0,2,1,3,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,2,53.85,108.15,1,17.95,4.692723082995953,0,0,0,2,3,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,45,42.3,1840.75,0,0.9195652173913043,7.518471485562923,0,0,2,1,3,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
0,2,70.7,151.65,1,23.566666666666666,5.028147719180887,1,0,0,2,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,8,99.65,820.5,1,11.072222222222223,6.711131937477322,1,1,0,2,5,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,22,89.1,1949.4,0,3.8739130434782605,7.575789758727007,1,0,1,2,4,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
0,10,29.75,301.9,0,2.7045454545454546,5.713402718033191,0,0,0,2,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,28,104.8,3046.05,1,3.613793103448276,8.02192918843427,1,0,2,2,6,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
0,62,56.15,3487.95,0,0.8912698412698412,8.15735611033029,0,0,3,1,3,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,13,49.95,587.45,0,3.567857142857143,6.377491961323671,0,0,1,2,2,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,16,18.95,326.8,0,1.1147058823529412,5.792403666309729,0,0,1,0,1,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
0,58,100.35,5681.1,0,1.7008474576271186,8.645076161696084,1,0,3,1,5,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False
0,49,103.7,5036.3,1,2.074,8.524625503233533,1,0,3,2,6,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0,25,105.5,2686.05,0,4.0576923076923075,7.8961992165555,1,0,2,2,6,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
0,69,113.25,7895.15,0,1.6178571428571429,8.974130577893364,1,0,3,0,8,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,52,20.65,1022.95,0,0.38962264150943393,6.931422976282321,0,0,3,1,1,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
0,71,106.7,7382.25,0,1.4819444444444445,8.906969200059761,1,0,3,0,6,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
0,10,55.2,528.35,1,5.0181818181818185,6.271649838789389,0,0,0,2,3,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
0,21,90.05,1862.9,0,4.093181818181818,7.530426345737758,1,0,1,2,4,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
1,1,39.65,39.65,1,19.825,3.7049988359938197,0,0,0,2,2,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
0,12,19.8,202.25,0,1.5230769230769232,5.31443674842792,0,0,0,1,1,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,1,20.15,20.15,1,10.075,3.0516399054922867,0,0,0,2,1,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,58,59.9,3505.1,0,1.0152542372881355,8.16225958760722,0,0,3,0,4,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False
0,49,59.6,2970.3,0,1.192,7.996754846467186,0,0,3,2,4,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,30,55.3,1530.6,0,1.7838709677419353,7.3340682196031395,0,0,2,2,3,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,47,99.35,4749.15,1,2.0697916666666667,8.46593147547745,1,0,2,2,5,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,1,30.2,30.2,1,15.1,3.4404180948154366,0,0,0,2,1,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,72,90.25,6369.45,0,1.2363013698630136,8.759425389713137,1,0,3,0,8,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
